Time,Open,High,Low,Close,Volume
2025-12-21 23:00:00,4338.55,4345.8,4338.17,4344.86,2069
2025-12-21 23:15:00,4344.82,4349.18,4344.14,4348.75,1956
2025-12-21 23:30:00,4348.78,4350.27,4346.97,4348.38,1416
2025-12-21 23:45:00,4348.43,4356.11,4348.38,4355.12,2430
2025-12-22 00:00:00,4355.31,4364.83,4355.31,4359.74,3017
2025-12-22 00:15:00,4359.7,4365.14,4358.92,4363.35,2314
2025-12-22 00:30:00,4363.36,4366.28,4361.73,4361.89,2222
2025-12-22 00:45:00,4361.94,4365.13,4361.7,4364.88,1757
2025-12-22 01:00:00,4364.96,4372.48,4362.5,4364.5,4417
2025-12-22 01:15:00,4364.42,4370.23,4361.23,4368.33,3676
2025-12-22 01:30:00,4368.0,4383.75,4368.0,4381.74,3775
2025-12-22 01:45:00,4381.73,4384.87,4379.9,4382.94,3860
2025-12-22 02:00:00,4382.82,4384.01,4378.55,4380.48,3469
2025-12-22 02:15:00,4380.53,4382.6,4379.12,4379.14,2324
2025-12-22 02:30:00,4379.13,4385.75,4378.86,4384.01,3499
2025-12-22 02:45:00,4384.05,4388.64,4382.17,4385.9,3439
2025-12-22 03:00:00,4385.99,4389.88,4384.2,4386.81,2895
2025-12-22 03:15:00,4386.71,4390.87,4385.4,4388.99,2603
2025-12-22 03:30:00,4389.05,4392.15,4388.05,4391.47,2213
2025-12-22 03:45:00,4391.51,4394.9,4391.44,4392.65,1802
2025-12-22 04:00:00,4392.62,4396.65,4391.39,4396.63,2027
2025-12-22 04:15:00,4396.63,4397.29,4393.18,4394.65,1987
2025-12-22 04:30:00,4394.68,4395.99,4394.0,4395.1,1513
2025-12-22 04:45:00,4395.15,4400.83,4394.86,4398.44,2199
2025-12-22 05:00:00,4398.02,4403.49,4396.86,4401.13,2310
2025-12-22 05:15:00,4401.1,4405.39,4398.74,4404.98,2414
2025-12-22 05:30:00,4404.92,4409.45,4397.48,4401.4,4461
2025-12-22 05:45:00,4401.6,4406.74,4399.92,4400.02,3616
2025-12-22 06:00:00,4400.15,4404.85,4398.93,4403.79,3370
2025-12-22 06:15:00,4403.83,4405.46,4399.76,4401.13,2910
2025-12-22 06:30:00,4401.23,4409.26,4400.1,4408.39,2771
2025-12-22 06:45:00,4408.41,4419.76,4408.16,4419.24,3787
2025-12-22 07:00:00,4418.92,4420.19,4410.5,4413.02,3149
2025-12-22 07:15:00,4413.03,4416.69,4411.88,4415.84,2484
2025-12-22 07:30:00,4415.87,4418.04,4412.42,4416.24,2287
2025-12-22 07:45:00,4416.3,4416.4,4412.56,4414.45,1779
2025-12-22 08:00:00,4414.16,4414.68,4410.08,4412.26,2954
2025-12-22 08:15:00,4412.2,4413.36,4409.46,4413.36,2277
2025-12-22 08:30:00,4413.39,4414.96,4407.04,4410.29,2847
2025-12-22 08:45:00,4410.2,4411.33,4406.29,4408.35,2368
2025-12-22 09:00:00,4408.4,4413.25,4408.16,4412.3,2239
2025-12-22 09:15:00,4412.19,4413.92,4410.76,4412.52,1689
2025-12-22 09:30:00,4412.56,4413.74,4411.52,4412.29,1494
2025-12-22 09:45:00,4412.45,4414.83,4411.0,4411.06,1643
2025-12-22 10:00:00,4410.99,4415.9,4410.83,4413.98,1902
2025-12-22 10:15:00,4413.95,4414.36,4411.2,4411.35,1607
2025-12-22 10:30:00,4411.27,4411.54,4406.16,4408.95,2400
2025-12-22 10:45:00,4409.17,4411.62,4408.57,4408.62,1546
2025-12-22 11:00:00,4408.67,4409.83,4406.13,4409.37,2032
2025-12-22 11:15:00,4409.36,4410.63,4408.28,4409.29,1939
2025-12-22 11:30:00,4409.28,4411.8,4408.58,4410.16,2221
2025-12-22 11:45:00,4410.15,4410.94,4408.75,4410.35,1993
2025-12-22 12:00:00,4410.0,4413.28,4406.27,4407.23,2925
2025-12-22 12:15:00,4407.12,4412.31,4407.0,4409.2,2461
2025-12-22 12:30:00,4409.4,4410.84,4407.63,4409.48,2126
2025-12-22 12:45:00,4409.27,4415.92,4409.27,4415.6,2422
2025-12-22 13:00:00,4415.82,4426.92,4415.27,4425.58,4282
2025-12-22 13:15:00,4425.51,4427.28,4413.56,4418.66,4025
2025-12-22 13:30:00,4418.7,4426.56,4418.35,4424.0,3431
2025-12-22 13:45:00,4423.93,4427.06,4419.72,4423.72,3507
2025-12-22 14:00:00,4424.12,4427.16,4421.5,4426.21,3032
2025-12-22 14:15:00,4426.27,4429.03,4423.99,4426.46,3420
2025-12-22 14:30:00,4426.45,4426.45,4414.76,4423.04,5089
2025-12-22 14:45:00,4423.15,4429.16,4417.66,4419.2,4728
2025-12-22 15:00:00,4419.28,4423.53,4414.0,4416.02,4694
2025-12-22 15:15:00,4415.84,4419.89,4412.22,4418.02,4451
2025-12-22 15:30:00,4418.01,4427.97,4416.55,4427.8,4110
2025-12-22 15:45:00,4427.85,4435.57,4427.85,4431.78,4029
2025-12-22 16:00:00,4431.8,4438.05,4428.12,4438.05,4091
2025-12-22 16:15:00,4437.89,4440.45,4435.31,4437.76,4017
2025-12-22 16:30:00,4437.79,4442.14,4433.18,4435.99,3887
